
+-------------------------+--------+-----------------------+-----------+-------------+----------------------+---------------------------+---------------------+--------------------+--------------------+
|           Name          | Ticker | % of total global cap |  Current  | 7.7T (Gold) | 36.8T (Narrow Money) | 73T (World Stock Markets) | 90.4T (Broad Money) | 217T (Real Estate) | 544T (Derivatives) |
+-------------------------+--------+-----------------------+-----------+-------------+----------------------+---------------------------+---------------------+--------------------+--------------------+
|         Bitcoin         |  BTC   |         65.39%        | $11843.49 | $282,646.40 |    $1,321,463.69     |       $2,679,634.70       |    $3,318,342.15    |   $7,965,489.45    |   $19,968,784.62   |
|         Ethereum        |  ETH   |         9.13%         |  $275.71  |  $6,579.82  |      $30,762.81      |         $62,380.14        |      $77,248.83     |    $185,431.38     |    $464,860.23     |
|           XRP           |  XRP   |         4.53%         |   $0.34   |    $3.49    |        $16.31        |           $33.07          |        $40.95       |       $98.29       |      $246.41       |
|         Litecoin        |  LTC   |         2.03%         |  $104.67  |  $2,497.88  |      $11,678.38      |         $23,681.16        |      $29,325.72     |     $70,394.69     |    $176,473.33     |
|       Bitcoin Cash      |  BCH   |         1.97%         |  $355.07  |  $8,473.77  |      $39,617.61      |         $80,335.70        |      $99,484.21     |    $238,806.13     |    $598,666.07     |
|           EOS           |  EOS   |         1.38%         |   $4.82   |   $104.21   |       $487.20        |          $987.94          |      $1,223.42      |     $2,936.75      |     $7,362.18      |
|       Binance Coin      |  BNB   |         1.38%         |   $31.52  |   $561.31   |      $2,624.32       |         $5,321.53         |      $6,589.95      |     $15,818.80     |     $39,656.35     |
|          Tether         |  USDT  |         1.21%         |   $1.01   |    $22.12   |       $103.42        |          $209.71          |       $259.69       |      $623.38       |     $1,562.76      |
|        Bitcoin SV       |  BSV   |         0.92%         |  $166.66  |  $3,977.47  |      $18,595.96      |         $37,708.48        |      $46,696.53     |    $112,092.33     |    $281,005.67     |
|           TRON          |  TRX   |         0.61%         |   $0.03   |    $0.47    |        $2.21         |           $4.47           |        $5.54        |       $13.30       |       $33.34       |
|         Stellar         |  XLM   |         0.59%         |    $0.1   |    $0.43    |        $2.01         |           $4.08           |        $5.05        |       $12.12       |       $30.39       |
|         Cardano         |  ADA   |         0.56%         |   $0.07   |    $1.39    |        $6.49         |           $13.15          |        $16.29       |       $39.10       |       $98.02       |
|          Monero         |  XMR   |         0.52%         |   $98.14  |  $2,342.11  |      $10,950.11      |         $22,204.40        |      $27,496.95     |     $66,004.85     |    $165,468.38     |
|       UNUS SED LEO      |  LEO   |         0.46%         |   $1.49   |    $35.61   |       $166.47        |          $337.56          |       $418.02       |     $1,003.44      |     $2,515.53      |
|           Dash          |  DASH  |          0.4%         |   $143.2  |  $3,417.42  |      $15,977.57      |         $32,398.95        |      $40,121.44     |     $96,309.22     |    $241,438.77     |
|           NEO           |  NEO   |         0.34%         |   $15.4   |   $259.24   |      $1,212.02       |         $2,457.70         |      $3,043.50      |     $7,305.76      |     $18,314.90     |
|        Chainlink        |  LINK  |         0.33%         |   $3.09   |    $25.78   |       $120.54        |          $244.43          |       $302.69       |      $726.60       |     $1,821.52      |
|           IOTA          | MIOTA  |         0.31%         |   $0.36   |    $8.51    |        $39.77        |           $80.64          |        $99.86       |      $239.71       |      $600.92       |
|          Cosmos         |  ATOM  |         0.27%         |   $4.53   |    $86.61   |       $404.93        |          $821.11          |      $1,016.83      |     $2,440.84      |     $6,118.98      |
|     Ethereum Classic    |  ETC   |         0.24%         |   $6.82   |   $162.86   |       $761.43        |         $1,544.00         |      $1,912.02      |     $4,589.70      |     $11,505.98     |
|          Tezos          |  XTZ   |         0.22%         |   $1.08   |    $21.19   |        $99.06        |          $200.88          |       $248.76       |      $597.13       |     $1,496.94      |
|           NEM           |  XEM   |         0.22%         |   $0.08   |    $1.85    |        $8.67         |           $17.57          |        $21.76       |       $52.24       |      $130.95       |
|     Crypto.com Chain    |  CRO   |         0.22%         |   $0.09   |    $0.17    |        $0.78         |           $1.58           |        $1.95        |       $4.69        |       $11.76       |
|          Maker          |  MKR   |          0.2%         |  $657.91  |  $15,701.19 |      $73,408.18      |        $148,855.48        |     $184,336.10     |    $442,488.20     |   $1,109,279.19    |
|          Zcash          |  ZEC   |          0.2%         |   $91.73  |  $2,189.05  |      $10,234.52      |         $20,753.34        |      $25,700.03     |     $61,691.44     |    $154,655.03     |
|         Ontology        |  ONT   |         0.19%         |   $1.12   |    $14.29   |        $66.79        |          $135.44          |       $167.72       |      $402.61       |     $1,009.31      |
|       Bitcoin Gold      |  BTG   |         0.17%         |   $30.52  |   $728.39   |      $3,405.46       |         $6,905.51         |      $8,551.48      |     $20,527.33     |     $51,460.22     |
|         Dogecoin        |  DOGE  |         0.13%         |    $0.0   |    $0.08    |        $0.37         |           $0.76           |        $0.94        |       $2.26        |       $5.65        |
|         USD Coin        |  USDC  |         0.12%         |    $1.0   |    $23.82   |       $111.36        |          $225.82          |       $279.65       |      $671.28       |     $1,682.84      |
|         VeChain         |  VET   |         0.12%         |   $0.01   |    $0.10    |        $0.49         |           $0.99           |        $1.22        |       $2.94        |       $7.37        |
|  Basic Attention Token  |  BAT   |         0.11%         |   $0.29   |    $5.84    |        $27.29        |           $55.33          |        $68.52       |      $164.48       |      $412.34       |
|           Qtum          |  QTUM  |         0.11%         |    $3.8   |    $85.56   |       $400.03        |          $811.18          |      $1,004.53      |     $2,411.31      |     $6,044.94      |
|         Egretia         |  EGT   |         0.11%         |   $0.09   |    $1.08    |        $5.07         |           $10.28          |        $12.73       |       $30.55       |       $76.59       |
|        V Systems        |  VSYS  |          0.1%         |   $0.19   |    $2.18    |        $10.19        |           $20.67          |        $25.60       |       $61.45       |      $154.06       |
|          Decred         |  DCR   |          0.1%         |   $31.7   |   $756.63   |      $3,537.49       |         $7,173.25         |      $8,883.04      |     $21,323.23     |     $53,455.47     |
|         OmiseGO         |  OMG   |         0.09%         |    $2.0   |    $47.66   |       $222.84        |          $451.87          |       $559.58       |     $1,343.24      |     $3,367.40      |
|        BitTorrent       |  BTT   |         0.08%         |    $0.0   |    $0.01    |        $0.03         |           $0.06           |        $0.07        |       $0.17        |       $0.42        |
|         TrueUSD         |  TUSD  |         0.07%         |    $1.0   |    $23.91   |       $111.80        |          $226.70          |       $280.73       |      $673.88       |     $1,689.35      |
|        HedgeTrade       |  HEDG  |         0.07%         |   $0.73   |    $5.02    |        $23.49        |           $47.63          |        $58.98       |      $141.59       |      $354.95       |
|           Holo          |  HOT   |         0.06%         |    $0.0   |    $0.03    |        $0.13         |           $0.26           |        $0.32        |       $0.77        |       $1.93        |
|       Huobi Token       |   HT   |         0.06%         |   $4.04   |    $9.64    |        $45.06        |           $91.38          |       $113.16       |      $271.64       |      $680.98       |
|     Bitcoin Diamond     |  BCD   |         0.06%         |   $1.02   |    $23.86   |       $111.58        |          $226.25          |       $280.18       |      $672.56       |     $1,686.04      |
|        Ravencoin        |  RVN   |         0.06%         |   $0.05   |    $1.14    |        $5.31         |           $10.77          |        $13.34       |       $32.03       |       $80.29       |
|          Komodo         |  KMD   |         0.06%         |   $1.56   |    $37.22   |       $174.02        |          $352.87          |       $436.98       |     $1,048.95      |     $2,629.63      |
|           Lisk          |  LSK   |         0.05%         |    $1.5   |    $31.70   |       $148.20        |          $300.52          |       $372.15       |      $893.34       |     $2,239.52      |
|        HyperCash        |   HC   |         0.05%         |   $4.01   |    $95.78   |       $447.80        |          $908.04          |      $1,124.48      |     $2,699.25      |     $6,766.78      |
|         Qubitica        |  QBIT  |         0.05%         |   $62.13  |   $416.60   |      $1,947.74       |         $3,949.58         |      $4,890.99      |     $11,740.54     |     $29,432.49     |
|         Pundi X         |  NPXS  |         0.05%         |    $0.0   |    $0.02    |        $0.07         |           $0.15           |        $0.18        |       $0.44        |       $1.09        |
|          Augur          |  REP   |         0.05%         |   $15.25  |   $363.95   |      $1,701.59       |         $3,450.44         |      $4,272.87      |     $10,256.78     |     $25,712.86     |
|          Aurora         |  AOA   |         0.05%         |   $0.03   |    $0.40    |        $1.85         |           $3.76           |        $4.66        |       $11.18       |       $28.02       |
|          Waves          | WAVES  |         0.05%         |   $1.64   |    $39.05   |       $182.56        |          $370.19          |       $458.42       |     $1,100.42      |     $2,758.65      |
|         Bytecoin        |  BCN   |         0.05%         |    $0.0   |    $0.02    |        $0.10         |           $0.20           |        $0.25        |       $0.59        |       $1.49        |
|         DigiByte        |  DGB   |         0.05%         |   $0.01   |    $0.32    |        $1.50         |           $3.04           |        $3.76        |       $9.03        |       $22.63       |
|            0x           |  ZRX   |         0.05%         |   $0.27   |    $3.82    |        $17.84        |           $36.18          |        $44.80       |      $107.54       |      $269.59       |
|        ThoreCoin        |  THR   |         0.05%         |  $1841.43 |  $38,094.99 |     $178,106.44      |        $361,160.28        |     $447,245.06     |   $1,073,586.03    |   $2,691,386.19    |
|   Paxos Standard Token  |  PAX   |         0.05%         |    $1.0   |    $23.91   |       $111.79        |          $226.69          |       $280.72       |      $673.85       |     $1,689.28      |
|           Nano          |  NANO  |         0.05%         |   $1.16   |    $27.62   |       $129.15        |          $261.88          |       $324.30       |      $778.47       |     $1,951.56      |
|           ICON          |  ICX   |         0.05%         |   $0.31   |    $4.51    |        $21.08        |           $42.75          |        $52.94       |      $127.08       |      $318.57       |
|          Quant          |  QNT   |         0.05%         |   $12.26  |   $241.70   |      $1,130.01       |         $2,291.40         |      $2,837.57      |     $6,811.43      |     $17,075.66     |
|      KuCoin Shares      |  KCS   |         0.04%         |   $1.59   |    $18.87   |        $88.21        |          $178.87          |       $221.50       |      $531.71       |     $1,332.94      |
|         MonaCoin        |  MONA  |         0.04%         |   $2.14   |    $51.07   |       $238.78        |          $484.19          |       $599.60       |     $1,439.30      |     $3,608.19      |
|          Bytom          |  BTM   |         0.04%         |   $0.14   |    $2.38    |        $11.12        |           $22.54          |        $27.92       |       $67.02       |      $168.00       |
|        BitShares        |  BTS   |         0.04%         |   $0.05   |    $1.22    |        $5.71         |           $11.57          |        $14.33       |       $34.39       |       $86.21       |
|          Energi         |  NRG   |         0.04%         |   $7.49   |   $178.65   |       $835.26        |         $1,693.73         |      $2,097.44      |     $5,034.78      |     $12,621.75     |
|         Siacoin         |   SC   |         0.04%         |    $0.0   |    $0.08    |        $0.36         |           $0.72           |        $0.90        |       $2.15        |       $5.39        |
|        ABBC Coin        |  ABBC  |         0.04%         |   $0.25   |    $3.06    |        $14.31        |           $29.02          |        $35.94       |       $86.26       |      $216.25       |
|         Zilliqa         |  ZIL   |         0.04%         |   $0.01   |    $0.24    |        $1.13         |           $2.29           |        $2.84        |       $6.82        |       $17.10       |
|      Insight Chain      |  INB   |         0.04%         |   $0.35   |    $0.29    |        $1.36         |           $2.76           |        $3.42        |       $8.20        |       $20.57       |
|          Lambda         |  LAMB  |         0.04%         |   $0.24   |    $0.48    |        $2.24         |           $4.55           |        $5.64        |       $13.53       |       $33.92       |
|      Metaverse ETP      |  ETP   |         0.04%         |   $1.65   |    $37.27   |       $174.26        |          $353.37          |       $437.60       |     $1,050.42      |     $2,633.32      |
|           IOST          |  IOST  |         0.04%         |   $0.01   |    $0.13    |        $0.63         |           $1.27           |        $1.58        |       $3.79        |       $9.49        |
|          Verge          |  XVG   |         0.03%         |   $0.01   |    $0.16    |        $0.76         |           $1.54           |        $1.91        |       $4.58        |       $11.48       |
